NUM_CLIENTS,NUM_ROUNDS,BATCH_SIZE,NOISE_MULTIPLIER,EVAL_RATIO,ACCURACY
2,5,128,0.1,0.75,0.127
2,5,128,0.1,0.75,0.1404
2,5,128,0.1,0.75,0.153
2,5,128,0.1,0.75,0.1386
2,5,128,0.1,0.9,0.094
2,5,128,0.1,0.9,0.094
2,5,128,0.1,0.9,0.097
2,5,128,0.1,0.9,0.094
2,5,128,0.1,0.9,0.097
2,5,128,0.1,1,0.1217
2,5,128,0.1,1,0.11499999999999999
2,5,128,0.1,1,0.10910000000000002
2,5,128,0.1,1,0.1206
2,5,128,0.1,1,0.1356
2,5,128,0.4,0.1,0.1016
2,5,128,0.4,0.1,0.0922
2,5,128,0.4,0.1,0.092
2,5,128,0.4,0.1,0.0822
2,5,128,0.4,0.1,0.0892
2,5,128,0.4,0.3,0.096
2,5,128,0.4,0.3,0.0924
2,5,128,0.4,0.3,0.0906
2,5,128,0.4,0.3,0.0924
2,5,128,0.4,0.3,0.0958
2,5,128,0.4,0.75,0.1006
2,5,128,0.4,0.75,0.0932
2,5,128,0.4,0.75,0.134
2,5,128,0.4,0.75,0.1048
2,5,128,0.4,0.75,0.1048
2,5,128,0.4,0.9,0.1038
2,5,128,0.4,0.9,0.1062
2,5,128,0.4,0.9,0.1044
2,5,128,0.4,0.9,0.1026
2,5,128,0.4,0.9,0.10200000000000001
2,5,128,0.4,1,0.0994
2,5,128,0.4,1,0.099
2,5,128,0.4,1,0.0984
2,5,128,0.4,1,0.10350000000000001
2,5,128,0.4,1,0.10629999999999999
2,5,128,1.1,0.1,0.1192
2,5,128,1.1,0.1,0.0908
2,5,128,1.1,0.1,0.093
2,5,128,1.1,0.1,0.1042
2,5,128,1.1,0.3,0.1
2,5,128,1.1,0.3,0.1308
2,5,128,1.1,0.3,0.11100000000000002
2,5,128,1.1,0.3,0.1102
2,5,128,1.1,0.3,0.0902
2,5,128,1.1,0.75,0.10700000000000001
2,5,128,1.1,0.75,0.1032
2,5,128,1.1,0.75,0.1066
2,5,128,1.1,0.75,0.10700000000000001
2,5,128,1.1,0.75,0.10979999999999998
2,5,128,1.1,0.9,0.094
2,5,128,1.1,0.9,0.097
2,5,128,1.1,0.9,0.092
2,5,128,1.1,0.9,0.0964
2,5,128,1.1,0.9,0.11739999999999999
2,5,128,1.1,1,0.09590000000000001
2,5,128,1.1,1,0.09290000000000001
2,5,128,1.1,1,0.1
2,5,128,1.1,1,0.0991
2,5,128,1.1,1,0.0987
2,5,128,1.5,0.1,0.1086
2,5,128,1.5,0.1,0.089
2,5,128,1.5,0.1,0.0794
2,5,128,1.5,0.1,0.0858
2,5,128,1.5,0.1,0.0854
2,5,128,1.5,0.3,0.0824
2,5,128,1.5,0.3,0.1014
2,5,128,1.5,0.3,0.1056
2,5,128,1.5,0.3,0.0956
2,5,128,1.5,0.3,0.0928
2,5,128,1.5,0.75,0.10739999999999998
2,5,128,1.5,0.75,0.10640000000000001
2,5,128,1.5,0.75,0.0948
2,5,128,1.5,0.75,0.0942
2,5,128,1.5,0.75,0.0804
2,5,128,1.5,0.9,0.11679999999999999
2,5,128,1.5,0.9,0.0874
2,5,128,1.5,0.9,0.11379999999999998
2,5,128,1.5,0.9,0.10900000000000001
2,5,128,1.5,0.9,0.1036
2,5,128,1.5,1,0.07730000000000001
2,5,128,1.5,1,0.0958
2,5,128,1.5,1,0.10739999999999998
2,5,128,1.5,1,0.1115
2,5,128,1.5,1,0.09459999999999999
2,5,128,2.5,0.1,0.0864
2,5,128,2.5,0.1,0.1034
2,5,128,2.5,0.1,0.1004
2,5,128,2.5,0.1,0.0984
2,5,128,2.5,0.1,0.0994
2,5,128,2.5,0.3,0.10939999999999998
2,5,128,2.5,0.3,0.0932
2,5,128,2.5,0.3,0.1026
2,5,128,2.5,0.3,0.1062
2,5,128,2.5,0.3,0.10500000000000001
2,5,128,2.5,0.75,0.1062
2,5,128,2.5,0.75,0.1096
2,5,128,2.5,0.75,0.1172
2,5,128,2.5,0.75,0.1192
2,5,128,2.5,0.75,0.1092
2,5,128,2.5,0.9,0.0798
2,5,128,2.5,0.9,0.1026
2,5,128,2.5,0.9,0.099
2,5,128,2.5,0.9,0.1004
2,5,128,2.5,0.9,0.11939999999999999
2,5,128,2.5,1,0.10729999999999999
2,5,128,2.5,1,0.0917
2,5,128,2.5,1,0.1078
2,5,128,2.5,1,0.101
2,5,128,2.5,1,0.0993
2,5,128,4,0.1,0.1092
2,5,128,4,0.1,0.1046
2,5,128,4,0.1,0.0974
2,5,128,4,0.1,0.0918
2,5,128,4,0.1,0.0866
2,5,128,4,0.3,0.10400000000000001
2,5,128,4,0.3,0.1034
2,5,128,4,0.3,0.0986
2,5,128,4,0.3,0.1026
2,5,128,4,0.3,0.10840000000000001
2,5,128,4,0.75,0.1076
2,5,128,4,0.75,0.1062
2,5,128,4,0.75,0.099
2,5,128,4,0.75,0.099
2,5,128,4,0.75,0.0996
2,5,128,4,0.9,0.0916
2,5,128,4,0.9,0.1358
2,5,128,4,0.9,0.1294
2,5,128,4,0.9,0.1106
2,5,128,4,0.9,0.10979999999999998
2,5,128,4,1,0.11019999999999999
2,5,128,4,1,0.09440000000000001
2,5,128,4,1,0.11640000000000002
2,5,128,4,1,0.11400000000000002
2,5,128,4,1,0.1025
2,5,256,0.1,0.1,0.10500000000000001
2,5,256,0.1,0.1,0.1122
2,5,256,0.1,0.1,0.1058
2,5,256,0.1,0.1,0.1406
2,5,256,0.1,0.1,0.1338
2,5,256,0.1,0.3,0.10400000000000001
2,5,256,0.1,0.3,0.10400000000000001
2,5,256,0.1,0.3,0.093
2,5,256,0.1,0.3,0.1042
2,5,256,0.1,0.3,0.1044
2,5,256,0.1,0.75,0.10400000000000001
2,5,256,0.1,0.75,0.10400000000000001
2,5,256,0.1,0.75,0.0932
2,5,256,0.1,0.75,0.0946
2,5,256,0.1,0.75,0.11240000000000001
2,5,256,0.1,0.9,0.089
2,5,256,0.1,0.9,0.09
2,5,256,0.1,0.9,0.091
2,5,256,0.1,0.9,0.1024
2,5,256,0.1,0.9,0.0998
2,5,256,0.1,1,0.10430000000000002
2,5,256,0.1,1,0.10430000000000002
2,5,256,0.1,1,0.10430000000000002
2,5,256,0.1,1,0.10430000000000002
2,5,256,0.1,1,0.10430000000000002
2,5,256,0.4,0.1,0.1068
2,5,256,0.4,0.1,0.1132
2,5,256,0.4,0.1,0.1068
2,5,256,0.4,0.1,0.1096
2,5,256,0.4,0.1,0.10840000000000001
2,5,256,0.4,0.3,0.0956
2,5,256,0.4,0.3,0.1
2,5,256,0.4,0.3,0.1018
2,5,256,0.4,0.3,0.10200000000000001
2,5,256,0.4,0.3,0.1146
2,5,256,0.4,0.75,0.096
2,5,256,0.4,0.75,0.11100000000000002
2,5,256,0.4,0.75,0.1206
2,5,256,0.4,0.75,0.1368
2,5,256,0.4,0.75,0.11079999999999998
2,5,256,0.4,0.9,0.089
2,5,256,0.4,0.9,0.101
2,5,256,0.4,0.9,0.0892
2,5,256,0.4,0.9,0.0934
2,5,256,0.4,0.9,0.0994
2,5,256,0.4,1,0.1041
2,5,256,0.4,1,0.10470000000000002
2,5,256,0.4,1,0.1062
2,5,256,0.4,1,0.1046
2,5,256,0.4,1,0.10540000000000001
2,5,256,1.1,0.1,0.1006
2,5,256,1.1,0.1,0.0986
2,5,256,1.1,0.1,0.1006
2,5,256,1.1,0.1,0.0794
2,5,256,1.1,0.1,0.0928
2,5,256,1.1,0.3,0.1028
2,5,256,1.1,0.3,0.1096
2,5,256,1.1,0.3,0.1024
2,5,256,1.1,0.3,0.0898
2,5,256,1.1,0.3,0.11100000000000002
2,5,256,1.1,0.75,0.0958
2,5,256,1.1,0.75,0.10400000000000001
2,5,256,1.1,0.75,0.0974
2,5,256,1.1,0.75,0.11479999999999999
2,5,256,1.1,0.75,0.12279999999999999
2,5,256,1.1,0.9,0.1042
2,5,256,1.1,0.9,0.1034
2,5,256,1.1,0.9,0.0974
2,5,256,1.1,0.9,0.0994
2,5,256,1.1,0.9,0.0958
2,5,256,1.1,1,0.09230000000000001
2,5,256,1.1,1,0.1008
2,5,256,1.1,1,0.10129999999999999
2,5,256,1.1,1,0.10089999999999999
2,5,256,1.1,1,0.085
2,5,256,1.5,0.1,0.11640000000000002
2,5,256,1.5,0.1,0.1214
2,5,256,1.5,0.1,0.11700000000000002
2,5,256,1.5,0.1,0.11640000000000002
2,5,256,1.5,0.1,0.11579999999999999
2,5,256,1.5,0.3,0.1068
2,5,256,1.5,0.3,0.0902
2,5,256,1.5,0.3,0.1206
2,5,256,1.5,0.3,0.1136
2,5,256,1.5,0.3,0.118
2,5,256,1.5,0.75,0.0858
2,5,256,1.5,0.75,0.0942
2,5,256,1.5,0.75,0.1022
2,5,256,1.5,0.75,0.1008
2,5,256,1.5,0.75,0.1024
2,5,256,1.5,0.9,0.089
2,5,256,1.5,0.9,0.085
2,5,256,1.5,0.9,0.0868
2,5,256,1.5,0.9,0.1172
2,5,256,1.5,0.9,0.1016
2,5,256,1.5,1,0.08700000000000001
2,5,256,1.5,1,0.09509999999999999
2,5,256,1.5,1,0.09759999999999999
2,5,256,1.5,1,0.09609999999999999
2,5,256,1.5,1,0.1
2,5,256,2.5,0.1,0.1028
2,5,256,2.5,0.1,0.101
2,5,256,2.5,0.1,0.11279999999999998
2,5,256,2.5,0.1,0.0754
2,5,256,2.5,0.1,0.1038
2,5,256,2.5,0.3,0.1034
2,5,256,2.5,0.3,0.1004
2,5,256,2.5,0.3,0.0898
2,5,256,2.5,0.3,0.0884
2,5,256,2.5,0.3,0.0926
2,5,256,2.5,0.75,0.1274
2,5,256,2.5,0.75,0.10200000000000001
2,5,256,2.5,0.75,0.1032
2,5,256,2.5,0.75,0.0914
2,5,256,2.5,0.75,0.0882
2,5,256,2.5,0.9,0.1066
2,5,256,2.5,0.9,0.1052
2,5,256,2.5,0.9,0.0956
2,5,256,2.5,0.9,0.0938
2,5,256,2.5,0.9,0.10939999999999998
2,5,256,2.5,1,0.0972
2,5,256,2.5,1,0.10950000000000001
2,5,256,2.5,1,0.1289
2,5,256,2.5,1,0.1002
2,5,256,2.5,1,0.1038
2,10,32,0.1,0.1,0.094
2,10,32,0.1,0.1,0.094
2,10,32,0.1,0.1,0.094
2,10,32,0.1,0.1,0.094
2,10,32,0.1,0.1,0.097
2,10,32,0.1,0.1,0.094
2,10,32,0.1,0.1,0.097
2,10,32,0.1,0.1,0.097
2,10,32,0.1,0.1,0.097
2,10,32,0.1,0.1,0.097
2,10,32,0.1,0.3,0.0976
2,10,32,0.1,0.3,0.1
2,10,32,0.1,0.3,0.1
2,10,32,0.1,0.3,0.1
2,10,32,0.1,0.3,0.1
2,10,32,0.1,0.3,0.0976
2,10,32,0.1,0.3,0.0976
2,10,32,0.1,0.3,0.1004
2,10,32,0.1,0.3,0.1004
2,10,32,0.1,0.3,0.1002
2,10,32,0.1,0.75,0.098
2,10,32,0.1,0.75,0.1012
2,10,32,0.1,0.75,0.1016
2,10,32,0.1,0.75,0.1036
2,10,32,0.1,0.75,0.1066
2,10,32,0.1,0.75,0.10340000000000002
2,10,32,0.1,0.75,0.1046
2,10,32,0.1,0.75,0.1054
2,10,32,0.1,0.75,0.1064
2,10,32,0.1,0.75,0.1038
2,10,32,0.1,0.9,0.0984
2,10,32,0.1,0.9,0.109
2,10,32,0.1,0.9,0.0986
2,10,32,0.1,0.9,0.0996
2,10,32,0.1,0.9,0.0996
2,10,32,0.1,0.9,0.1116
2,10,32,0.1,0.9,0.1268
2,10,32,0.1,0.9,0.11599999999999999
2,10,32,0.1,0.9,0.0976
2,10,32,0.1,0.9,0.0986
2,10,32,0.1,1,0.0986
2,10,32,0.1,1,0.0986
2,10,32,0.1,1,0.0986
2,10,32,0.1,1,0.104
2,10,32,0.1,1,0.0996
2,10,32,0.1,1,0.09970000000000001
2,10,32,0.1,1,0.0994
2,10,32,0.1,1,0.0989
2,10,32,0.1,1,0.09870000000000001
2,10,32,0.1,1,0.09870000000000001
2,10,32,0.4,0.1,0.0942
2,10,32,0.4,0.1,0.0968
2,10,32,0.4,0.1,0.0974
2,10,32,0.4,0.1,0.094
2,10,32,0.4,0.1,0.097
2,10,32,0.4,0.1,0.097
2,10,32,0.4,0.1,0.0904
2,10,32,0.4,0.1,0.0794
2,10,32,0.4,0.1,0.09
2,10,32,0.4,0.1,0.0952
2,10,32,0.4,0.3,0.0978
2,10,32,0.4,0.3,0.1046
2,10,32,0.4,0.3,0.1368
2,10,32,0.4,0.3,0.11760000000000001
2,10,32,0.4,0.3,0.11479999999999999
2,10,32,0.4,0.3,0.1004
2,10,32,0.4,0.3,0.1004
2,10,32,0.4,0.3,0.1056
2,10,32,0.4,0.3,0.1012
2,10,32,0.4,0.75,0.0986
2,10,32,0.4,0.75,0.1042
2,10,32,0.4,0.75,0.1306
2,10,32,0.4,0.75,0.1284
2,10,32,0.4,0.75,0.1226
2,10,32,0.4,0.75,0.1202
2,10,32,0.4,0.75,0.1238
2,10,32,0.4,0.75,0.1302
2,10,32,0.4,0.75,0.1342
2,10,32,0.4,0.75,0.1346
2,10,32,0.4,0.9,0.0984
2,10,32,0.4,0.9,0.1058
2,10,32,0.4,0.9,0.1046
2,10,32,0.4,0.9,0.104
2,10,32,0.4,0.9,0.095
2,10,32,0.4,0.9,0.097
2,10,32,0.4,0.9,0.1018
2,10,32,0.4,0.9,0.096
2,10,32,0.4,0.9,0.0974
2,10,32,0.4,0.9,0.0978
2,10,32,0.4,1,0.0986
2,10,32,0.4,1,0.1068
2,10,32,0.4,1,0.1013
2,10,32,0.4,1,0.10740000000000001
2,10,32,0.4,1,0.1189
2,10,32,0.4,1,0.1163
2,10,32,0.4,1,0.113
2,10,32,0.4,1,0.1143
2,10,32,0.4,1,0.11339999999999999
2,10,32,0.4,1,0.10749999999999998
2,10,32,1.1,0.1,0.0978
2,10,32,1.1,0.1,0.0942
2,10,32,1.1,0.1,0.107
2,10,32,1.1,0.1,0.1082
2,10,32,1.1,0.1,0.103
2,10,32,1.1,0.1,0.1004
2,10,32,1.1,0.1,0.0944
2,10,32,1.1,0.1,0.089
2,10,32,1.1,0.1,0.1126
2,10,32,1.1,0.1,0.111
2,10,32,1.1,0.3,0.1012
2,10,32,1.1,0.3,0.0986
2,10,32,1.1,0.3,0.11699999999999999
2,10,32,1.1,0.3,0.1058
2,10,32,1.1,0.3,0.1074
2,10,32,1.1,0.3,0.1042
2,10,32,1.1,0.3,0.1214
2,10,32,1.1,0.3,0.11420000000000001
2,10,32,1.1,0.3,0.108
2,10,32,1.1,0.3,0.11460000000000001
2,10,32,1.1,0.75,0.11179999999999998
2,10,32,1.1,0.75,0.112
2,10,32,1.1,0.75,0.1074
2,10,32,1.1,0.75,0.11179999999999998
2,10,32,1.1,0.75,0.11820000000000001
2,10,32,1.1,0.75,0.11660000000000001
2,10,32,1.1,0.75,0.126
2,10,32,1.1,0.75,0.131
2,10,32,1.1,0.75,0.11839999999999999
2,10,32,1.1,0.75,0.0922
2,10,32,1.1,0.9,0.0924
2,10,32,1.1,0.9,0.1006
2,10,32,1.1,0.9,0.0984
2,10,32,1.1,0.9,0.1012
2,10,32,1.1,0.9,0.105
2,10,32,1.1,0.9,0.1064
2,10,32,1.1,0.9,0.1084
2,10,32,1.1,0.9,0.1094
2,10,32,1.1,0.9,0.1072
2,10,32,1.1,0.9,0.1248
2,10,32,1.1,1,0.10180000000000002
2,10,32,1.1,1,0.10490000000000001
2,10,32,1.1,1,0.1084
2,10,32,1.1,1,0.1036
2,10,32,1.1,1,0.1056
2,10,32,1.1,1,0.11050000000000001
2,10,32,1.1,1,0.10100000000000002
2,10,32,1.1,1,0.09799999999999999
2,10,32,1.1,1,0.0996
2,10,32,1.1,1,0.0996
